id,age,gender,email,business_nature,company,position,payment_method,name,targets
0,26,Male,gmail.com,Communications,,customer service officer,A,John__melgarejo,20670.07;20632.81;20722.58;20332.79;20662.55
1,31,Male,ymail.com,Government,,助理客戶服務主管,A,William___kerne,31551.75;32431.83
2,26,Male,yahoo.com.hk,Retail / Wholesale,,店務員,A,James___kadner,21686.08;21282.62;21566.40
3,52,Male,gmail.com,Other,,MANAGER,,Charles__MUHL,26055.26;26039.48;25986.92
4,22,Male,gmail.com,Retail / Wholesale,,sales,A,george___baridon,15950.31
5,28,Female,gmail.com,Retail / Wholesale,,店務員,,Anna_MUHN,13301.20;13455.24;13296.57
6,27,Male,gmail.com,Retail / Wholesale,,店員,,frank_muhn,22549.32;22471.30;22271.52;22174.17
7,29,Male,gmail.com,Retail / Wholesale,,Sales assistant,A,Joseph___jeannette,11900.57;11887.24;11861.63
8,22,Female,gmail.com,Retail / Wholesale,,sales,A,Emma___muha,13702.91
9,39,Female,gmail.com,Retail / Wholesale,"	 Cuico Florist Limited",Assistant manager,A,elizabeth__thomaston,25819.65;25758.61
10,42,Male,gmail.com,Bank / Finance,"	Sincere Finance Holding Limited	",文員,,thomas__melgarejo,20523.50;20420.91;20466.45
11,43,Male,gmail.com,IT,"  	 TOPPAN FORMS (HONG KONG) GROUP",Engineer,,Henry___schierenbeck,20773.26;21048.91;21081.42
12,22,Male,qq.com,Construction,  爾天工程有限公司,燒焊,A,robert___autobee,29274.54
13,48,Male,gmail.com,Management / Human Resource, ATL Logistics Centre Hong Kong  Limited,building operarion department (patrol officer),A,edward___schrantz,34147.37;33863.55;34273.01;33897.54
14,37,Female,yahoo.com.hk,Manufacturing, Bread Elements  ,包裝工人,A,Minnie_muhn,18757.63;18456.53;18652.37
15,31,Male,hotmail.com,Education, De La Salle Secondary School,Teacher,,Harry__verble,59444.87
16,29,Female,hotmail.com,Accounting, Deloitte Touche Tohmatsu,Accountant,,Margaret__capata,65899.26;65206.26;65625.72;65870.51;64779.21
17,53,Male,yahoo.com.hk,Public Utility, Hong Kong Parking Limited,Techncian(Data Retrieval),A,Walter__czerniak,17768.29;17742.26
18,26,Male,yahoo.com.hk,Other, Hong Yip Service Co. Ltd,     技工,,Arthur_kerns,19247.24;18888.45
19,22,Female,ymail.com,Retail / Wholesale, I.T apparels ltd,Sales,A,Ida_holstad,29958.37
20,41,Male,gmail.com,Entertainment / Media, Initium media technology Ltd.,Editor,,fred__mcelhenney,39366.79;39478.62;39196.34
21,38,Female,yahoo.com.hk,Retail / Wholesale, International Gemological Institute,Administrator,A,Alice__FASHEH,24541.56;24628.52;24485.95;24539.96
22,39,Male,gmail.com,Construction, KADEN CONSTRUCTION LIMTIED,Project quantity surveyor,,Albert__muhs,52770.35
23,42,Male,gmail.com,Construction, LEADER CIVIL ENGINEERING CORPORATION LIMITED,Project Quantity Surveyor,,Samuel___thomaston,64403.19;64058.07;63861.81;64871.02;64580.15
24,27,Male,hotmail.com,Education, MA ON SHAN LING LIANG PRIMARY SCHOOL,TEACHER,,David_THOMASTON,34274.67
25,27,Male,hotmail.com,Food Services, Recharge Cafe (Redback),Barista ,A,Louis__muhr,13549.60;13642.32;13570.71;13709.65
26,25,Male,gmail.com,Government, Seamatch Asia Limited,it assistant,A,joe___reutzel,19791.64;19603.60
